Date,Description,Amount
12/04/2026,coffee shop,₹120.00
2026-04-12,COFFEE SHOP,₹120
04-13-2026,uber ride,$14.50
13/04/26,Uber Ride,"₹1,210.00"
2026/04/14,Grocery Store,"₹2,345"
14-04-2026,Grocery Store,"₹2,345.00"
15 April 2026,ONLINE SUBSCRIPTION,$9.99
2026-04-15,online subscription,9.99 USD
,Electricity Bill,₹800
2026-04-16,ELECTRICITY BILL,₹800.00
16/04/2026,netflix subscription,₹499.00
2026.04.16,Netflix Subscription,₹499
17-04-26,petrol Pump,"₹1,560.00"
2026/04/17,Petrol pump,"₹1,560"
18/4/2026,medical store,₹235.50
2026-4-18,Medical Store,235.50 INR
04/19/2026,restaurant,$45.00
2026-04-19,RESTAURANT,$45
2026-04-20,Book Store,₹780
20/04/26,Book store,₹780.00
2026/04/20,Book Store,
21-04-2026,Taxi,$12.75
2026/04/21,TAXI,₹999
21/4/2026,taxi,₹999.00
22/04/26,random entry,
2026-04-22,random entry,₹340.00
23-04-26,Online Course,$120.00
2026/04/23,online course,"₹9,999"
24/04/2026,recharge,₹199.00
2026-04-24,RECHARGE,199 INR
25-4-2026,,₹350.00
2026/04/25,UNKNOWN,₹350
26/04/2026,gym membership,"₹1,299.00"
2026-04-26,GYM Membership,₹1299
27/04/26,fuel,₹1600.00
2026/04/27,Fuel,1600 INR
28-04-2026,random text $$$,₹250
2026/04/28,Random Text,₹250.00
29/04/2026,cab ride,₹675.00
2026-04-29,CAB RIDE,₹675
2026/04/30,mobile bill,₹999.00
30/04/26,Mobile Bill,₹999
